doorAllowed,scheduleAllowed,deviceRegistered,userRole,recentFailures,class
yes,yes,yes,ADMIN,LOW,AUTHORIZED
yes,yes,yes,STAFF,LOW,AUTHORIZED
yes,yes,yes,VISITOR,LOW,AUTHORIZED
yes,yes,yes,ADMIN,MEDIUM,AUTHORIZED
yes,yes,yes,STAFF,MEDIUM,AUTHORIZED
yes,yes,yes,VISITOR,MEDIUM,UNAUTHORIZED
yes,yes,yes,ADMIN,HIGH,UNAUTHORIZED
yes,yes,yes,STAFF,HIGH,UNAUTHORIZED
yes,yes,yes,VISITOR,HIGH,UNAUTHORIZED
no,yes,yes,ADMIN,LOW,UNAUTHORIZED
no,yes,yes,STAFF,LOW,UNAUTHORIZED
no,yes,yes,VISITOR,LOW,UNAUTHORIZED
yes,no,yes,ADMIN,LOW,UNAUTHORIZED
yes,no,yes,STAFF,LOW,UNAUTHORIZED
yes,no,yes,VISITOR,LOW,UNAUTHORIZED
yes,yes,no,ADMIN,LOW,UNAUTHORIZED
yes,yes,no,STAFF,LOW,UNAUTHORIZED
yes,yes,no,VISITOR,LOW,UNAUTHORIZED
no,no,yes,ADMIN,LOW,UNAUTHORIZED
yes,no,no,STAFF,MEDIUM,UNAUTHORIZED
no,yes,no,VISITOR,HIGH,UNAUTHORIZED
yes,yes,yes,ADMIN,LOW,AUTHORIZED
yes,yes,yes,STAFF,LOW,AUTHORIZED
yes,yes,yes,VISITOR,LOW,AUTHORIZED
